year,run,addiction_rate,mean_debt,pct_over_50
1998,17,0.333,127.5910478942378,0.023
1999,17,0.4,194.2523874026495,0.05
2000,17,0.46,268.1796609659648,0.081
2001,17,0.51,356.92854283810453,0.111
2002,17,0.554,461.63527649892757,0.147
2003,17,0.601,581.5294077912304,0.196
2004,17,0.643,709.0828992198739,0.244
2005,17,0.675,865.487530586248,0.3
2006,17,0.706,1039.501092232637,0.342
2007,17,0.731,1230.6106407492057,0.393
2008,17,0.756,1436.2848233984864,0.437
2009,17,0.781,1665.505424114659,0.484
2010,17,0.798,1907.5816064363798,0.527
2011,17,0.814,2157.436177361769,0.569
2012,17,0.835,2440.8375588420386,0.618
2013,17,0.854,2736.7619886743964,0.656
2014,17,0.87,3056.2513445486966,0.674
2015,17,0.884,3383.5204179071447,0.702
2016,17,0.893,3721.8834304201782,0.728
2017,17,0.898,4081.7221090887506,0.752
2018,17,0.909,4432.989764401144,0.772
2019,17,0.921,4791.743370789094,0.782
2020,17,0.924,5171.471116710015,0.799
2021,17,0.933,5561.600066857064,0.808
2022,17,0.937,5946.801586952819,0.817
2023,17,0.941,6341.733878622209,0.832
2024,17,0.947,6734.366070429204,0.842
2025,17,0.953,7133.807032788664,0.853
1995,18,0.116,12.835027315657296,0.0
1996,18,0.211,42.76233668745657,0.005
1997,18,0.281,76.03974724191664,0.012
1998,18,0.355,123.55909867380961,0.024
1999,18,0.41,191.60514040789545,0.051
2000,18,0.467,265.8482612390702,0.075
2001,18,0.508,359.1155889662466,0.111
2002,18,0.552,462.3068342175656,0.151
2003,18,0.585,583.7376949492362,0.2
2004,18,0.614,715.0500601476168,0.261
2005,18,0.643,867.5448837534399,0.318
2006,18,0.679,1040.9318473425742,0.378
2007,18,0.708,1232.61891688969,0.418
2008,18,0.736,1432.2484227719617,0.461
2009,18,0.756,1649.9444573002233,0.499
2010,18,0.777,1880.658576051478,0.537
2011,18,0.8,2136.6690003799713,0.573
2012,18,0.816,2400.699259773023,0.598
2013,18,0.837,2691.676008270146,0.63
2014,18,0.852,2998.4277995376365,0.655
2015,18,0.862,3314.3036681249655,0.672
2016,18,0.88,3639.046048446466,0.692
2017,18,0.888,3987.842500821313,0.718
2018,18,0.901,4342.373731857262,0.748
2019,18,0.915,4702.608321830726,0.765
2020,18,0.923,5069.835234858134,0.778
2021,18,0.933,5452.669535524081,0.788
2022,18,0.938,5852.7299393673375,0.804
2023,18,0.948,6248.993935323812,0.812
2024,18,0.957,6644.992922503653,0.822
2025,18,0.961,7044.47535604058,0.837
1995,19,0.116,12.39583469659443,0.0
1996,19,0.216,36.59824343227511,0.002
1997,19,0.275,74.76210755598552,0.008
1998,19,0.322,124.60604962603361,0.021
1999,19,0.392,188.3032776687183,0.042
2000,19,0.449,258.53503383257043,0.074
2001,19,0.501,343.18615360396865,0.115
2002,19,0.536,446.6749989783752,0.155
2003,19,0.575,554.9745530912148,0.201
2004,19,0.607,689.0621752571548,0.242
2005,19,0.639,834.8563164745955,0.281
2006,19,0.671,995.1555382219765,0.339
2007,19,0.695,1182.9979597585689,0.383
2008,19,0.72,1376.7265914951338,0.425
2009,19,0.743,1589.5117320261168,0.467
2010,19,0.763,1817.92426637587,0.507
2011,19,0.782,2067.1016138285136,0.542
2012,19,0.792,2329.02026721433,0.581
2013,19,0.81,2600.7113444390598,0.612
2014,19,0.83,2891.8488739004288,0.649
2015,19,0.843,3194.6977533185045,0.671
2016,19,0.851,3502.1055785715635,0.696
2017,19,0.864,3832.323356715079,0.712
2018,19,0.875,4172.334180805352,0.726
2019,19,0.884,4515.732021477968,0.742
2020,19,0.897,4880.033623744196,0.764
2021,19,0.912,5258.870350846929,0.773
2022,19,0.925,5632.072693010762,0.789
2023,19,0.93,6017.6766249415305,0.807
2024,19,0.943,6400.083712521496,0.818
2025,19,0.952,6784.1336362492075,0.83
1995,20,0.106,8.66058781850125,0.0
1996,20,0.196,34.61390268546657,0.003
1997,20,0.281,72.38658376097771,0.008
1998,20,0.34,114.81984438408367,0.014
1999,20,0.409,172.26718431740818,0.039
2000,20,0.47,246.6704134525735,0.064
2001,20,0.516,331.1506741714766,0.1
2002,20,0.559,439.20455731805123,0.154
2003,20,0.603,554.9422758843857,0.19
2004,20,0.631,685.1718715143727,0.242
2005,20,0.656,832.2240625295951,0.295
2006,20,0.685,992.010504105509,0.341
2007,20,0.704,1172.058064393899,0.4
2008,20,0.721,1369.410811780875,0.448
2009,20,0.747,1588.5732585600103,0.498
2010,20,0.762,1822.326547819547,0.534
2011,20,0.786,2070.667428679911,0.566
2012,20,0.806,2340.0698654850544,0.594
2013,20,0.819,2617.8103050375375,0.629
2014,20,0.836,2910.3832732078354,0.658
2015,20,0.849,3221.36629199637,0.674
2016,20,0.859,3537.2147625648863,0.697
2017,20,0.871,3867.4092287279746,0.72
2018,20,0.885,4214.864587040179,0.736
2019,20,0.9,4573.018094083305,0.757
2020,20,0.916,4940.526917802243,0.776
2021,20,0.925,5315.9246642106245,0.789
